future,policy,budget,selector,v_oracle,v_robust_worst,v_selected,regret,NR,NR_lo,NR_hi,spearman,v_selected_noisefree,n_boot_used,best_selector_in_cell
AZT@36.0,random,384,current_fitness,3.3283,2.7374,2.9779,0.3504,0.593,0.5469,0.8847,0.0318,2.954,2000,
AZT@36.0,random,384,known_family_mean,3.3283,2.7374,2.9551,0.3732,0.6316,0.4664,1.2769,0.0253,3.0255,2000,
AZT@36.0,random,384,known_family_worst,3.3283,2.7374,2.9551,0.3732,0.6316,0.4016,0.8372,0.0394,3.0255,2000,
AZT@36.0,random,384,local_robustness,3.3283,2.7374,2.8534,0.4749,0.8037,0.4595,0.8279,-0.0161,3.0002,2000,
AZT@36.0,random,384,neighbor_informative_frac,3.3283,2.7374,3.0249,0.3034,0.5135,0.3509,1.0951,0.0257,2.9457,2000,
AZT@36.0,random,384,dist_to_best,3.3283,2.7374,2.9444,0.3839,0.6496,0.4983,0.7852,0.0483,2.9405,2000,
AZT@36.0,random,384,n_better_neighbors,3.3283,2.7374,2.9879,0.3404,0.576,0.3969,1.2136,0.0342,2.8402,2000,
AZT@36.0,random,384,local_ruggedness,3.3283,2.7374,2.9879,0.3404,0.576,0.3962,1.2047,0.0354,2.8402,2000,
AZT@36.0,random,384,proxy_eov_today,3.3283,2.7374,2.9171,0.4112,0.6958,0.3718,0.9378,0.0105,2.9142,2000,
AZT@36.0,random,384,oracle,3.3283,2.7374,3.3283,0.0,0.0,0.0,0.0,1.0,3.2358,2000,
AZT@36.0,greedy_ssm,24,random,3.2305,0.7806,1.4563,1.7742,0.7242,0.7073,0.7409,,1.4041,2000,
AZT@36.0,greedy_ssm,24,current_fitness,3.2305,0.7806,2.9777,0.2528,0.1032,0.0707,0.7672,0.2395,2.9318,2000,
AZT@36.0,greedy_ssm,24,known_family_mean,3.2305,0.7806,1.9319,1.2986,0.5301,0.0682,0.6154,0.3271,2.0131,2000,
AZT@36.0,greedy_ssm,24,known_family_worst,3.2305,0.7806,1.9319,1.2986,0.5301,0.0677,0.9568,0.2371,2.0131,2000,
AZT@36.0,greedy_ssm,24,local_robustness,3.2305,0.7806,3.0482,0.1823,0.0744,0.048,0.9949,0.4261,3.0221,2000,
AZT@36.0,greedy_ssm,24,neighbor_informative_frac,3.2305,0.7806,1.3996,1.8309,0.7473,0.0533,1.0101,0.1288,1.0203,2000,
AZT@36.0,greedy_ssm,24,dist_to_best,3.2305,0.7806,3.1037,0.1268,0.0518,0.0332,0.0808,0.2382,3.1305,2000,
AZT@36.0,greedy_ssm,24,n_better_neighbors,3.2305,0.7806,1.1915,2.039,0.8323,0.1038,1.0184,-0.0018,0.8588,2000,
AZT@36.0,greedy_ssm,24,local_ruggedness,3.2305,0.7806,1.1915,2.039,0.8323,0.104,1.0185,0.0126,0.8588,2000,
AZT@36.0,greedy_ssm,24,proxy_eov_today,3.2305,0.7806,3.1037,0.1268,0.0518,0.0333,0.9098,0.3909,3.1305,2000,
AZT@36.0,greedy_ssm,24,oracle,3.2305,0.7806,3.2305,0.0,0.0,0.0,0.0,1.0,3.2358,2000,
AZT@36.0,greedy_ssm,96,random,3.3094,1.072,1.9053,1.4041,0.6275,0.6101,0.6451,,1.8644,2000,
AZT@36.0,greedy_ssm,96,current_fitness,3.3094,1.072,3.012,0.2974,0.1329,0.0944,0.6311,0.2298,3.0221,2000,
AZT@36.0,greedy_ssm,96,known_family_mean,3.3094,1.072,2.9278,0.3815,0.1705,0.1079,0.174,0.3111,3.0072,2000,
AZT@36.0,greedy_ssm,96,known_family_worst,3.3094,1.072,2.9278,0.3815,0.1705,0.1073,0.8012,0.2357,3.0072,2000,
AZT@36.0,greedy_ssm,96,local_robustness,3.3094,1.072,3.0679,0.2415,0.1079,0.0713,0.5328,0.3916,3.0221,2000,
AZT@36.0,greedy_ssm,96,neighbor_informative_frac,3.3094,1.072,1.5625,1.7468,0.7807,0.0684,1.0506,0.1481,1.1018,2000,
AZT@36.0,greedy_ssm,96,dist_to_best,3.3094,1.072,3.1801,0.1292,0.0578,0.0571,0.1109,0.2143,3.1305,2000,
AZT@36.0,greedy_ssm,96,n_better_neighbors,3.3094,1.072,1.949,1.3603,0.608,0.1099,1.0273,-0.0027,1.3081,2000,
AZT@36.0,greedy_ssm,96,local_ruggedness,3.3094,1.072,1.949,1.3603,0.608,0.1097,1.0283,0.0137,1.3081,2000,
AZT@36.0,greedy_ssm,96,proxy_eov_today,3.3094,1.072,3.1801,0.1292,0.0578,0.0571,0.971,0.3412,3.1305,2000,
AZT@36.0,greedy_ssm,96,oracle,3.3094,1.072,3.3094,0.0,0.0,0.0,0.0,1.0,3.2358,2000,
AZT@36.0,greedy_ssm,384,random,3.3094,1.1676,2.2093,1.1001,0.5137,0.497,0.5296,,2.2117,2000,
AZT@36.0,greedy_ssm,384,current_fitness,3.3094,1.1676,3.012,0.2974,0.1389,0.0983,0.6583,0.2203,3.0221,2000,
AZT@36.0,greedy_ssm,384,known_family_mean,3.3094,1.1676,2.9278,0.3815,0.1781,0.1133,0.1829,0.2683,3.0072,2000,
AZT@36.0,greedy_ssm,384,known_family_worst,3.3094,1.1676,2.9278,0.3815,0.1781,0.1116,1.01,0.2061,3.0072,2000,
AZT@36.0,greedy_ssm,384,local_robustness,3.3094,1.1676,3.0679,0.2415,0.1127,0.0746,0.5566,0.3766,3.0221,2000,
AZT@36.0,greedy_ssm,384,neighbor_informative_frac,3.3094,1.1676,1.7161,1.5933,0.7439,0.0718,1.0228,0.1662,1.1018,2000,
AZT@36.0,greedy_ssm,384,dist_to_best,3.3094,1.1676,3.1801,0.1292,0.0603,0.0593,0.1162,0.2125,3.1305,2000,
AZT@36.0,greedy_ssm,384,n_better_neighbors,3.3094,1.1676,1.8612,1.4482,0.6762,0.1242,1.0556,0.0057,1.3081,2000,
AZT@36.0,greedy_ssm,384,local_ruggedness,3.3094,1.1676,1.8612,1.4482,0.6762,0.1138,1.0571,0.022,1.3081,2000,
AZT@36.0,greedy_ssm,384,proxy_eov_today,3.3094,1.1676,3.1801,0.1292,0.0603,0.0594,0.9348,0.2954,3.1305,2000,
AZT@36.0,greedy_ssm,384,oracle,3.3094,1.1676,3.3094,0.0,0.0,0.0,0.0,1.0,3.2358,2000,
AZT@36.0,mlde_ridge,24,random,3.1581,0.95,1.6891,1.469,0.6653,0.6434,0.6779,,1.6488,2000,
AZT@36.0,mlde_ridge,24,current_fitness,3.1581,0.95,2.3652,0.7929,0.3591,0.3242,0.924,0.0493,2.7884,2000,
AZT@36.0,mlde_ridge,24,known_family_mean,3.1581,0.95,3.0433,0.1148,0.052,0.0,0.5887,0.0633,2.9868,2000,
AZT@36.0,mlde_ridge,24,known_family_worst,3.1581,0.95,3.0433,0.1148,0.052,0.0,0.7292,0.06,2.9868,2000,
AZT@36.0,mlde_ridge,24,local_robustness,3.1581,0.95,2.7022,0.4559,0.2065,0.1634,0.9105,0.0232,2.679,2000,
AZT@36.0,mlde_ridge,24,neighbor_informative_frac,3.1581,0.95,2.1595,0.9987,0.4523,0.1386,1.0486,-0.0199,2.8762,2000,
AZT@36.0,mlde_ridge,24,dist_to_best,3.1581,0.95,1.396,1.7621,0.798,0.1059,0.8112,0.0308,1.6661,2000,
AZT@36.0,mlde_ridge,24,n_better_neighbors,3.1581,0.95,2.1834,0.9747,0.4414,0.204,1.0449,0.0399,2.4464,2000,
AZT@36.0,mlde_ridge,24,local_ruggedness,3.1581,0.95,2.1834,0.9747,0.4414,0.2035,1.0452,0.0345,2.4464,2000,
AZT@36.0,mlde_ridge,24,proxy_eov_today,3.1581,0.95,1.107,2.0511,0.9289,0.6729,0.9624,-0.0396,0.7678,2000,
AZT@36.0,mlde_ridge,24,oracle,3.1581,0.95,3.1581,0.0,0.0,0.0,0.0,1.0,3.2358,2000,
AZT@36.0,mlde_ridge,96,random,3.3124,1.9057,2.6238,0.6886,0.4895,0.4589,0.5039,,2.638,2000,
AZT@36.0,mlde_ridge,96,current_fitness,3.3124,1.9057,3.0668,0.2456,0.1746,0.1177,0.5524,0.0282,3.0255,2000,
AZT@36.0,mlde_ridge,96,known_family_mean,3.3124,1.9057,2.8141,0.4983,0.3542,0.1482,0.703,0.0425,2.2194,2000,
AZT@36.0,mlde_ridge,96,known_family_worst,3.3124,1.9057,2.8141,0.4983,0.3542,0.3196,0.5904,0.052,2.2194,2000,
AZT@36.0,mlde_ridge,96,local_robustness,3.3124,1.9057,3.159,0.1534,0.1091,0.067,0.9854,0.0859,3.0001,2000,
AZT@36.0,mlde_ridge,96,neighbor_informative_frac,3.3124,1.9057,2.5392,0.7732,0.5497,0.0708,1.0683,0.034,2.7575,2000,
AZT@36.0,mlde_ridge,96,dist_to_best,3.3124,1.9057,2.5161,0.7963,0.5661,0.03,0.5808,0.0709,3.2358,2000,
AZT@36.0,mlde_ridge,96,n_better_neighbors,3.3124,1.9057,2.1228,1.1896,0.8457,0.1196,0.9886,-0.0421,2.9201,2000,
AZT@36.0,mlde_ridge,96,local_ruggedness,3.3124,1.9057,2.1228,1.1896,0.8457,0.1193,1.3921,-0.0351,2.9201,2000,
AZT@36.0,mlde_ridge,96,proxy_eov_today,3.3124,1.9057,3.044,0.2684,0.1908,0.0691,0.4713,-0.0091,3.1146,2000,
AZT@36.0,mlde_ridge,96,oracle,3.3124,1.9057,3.3124,0.0,0.0,0.0,0.0,1.0,3.2358,2000,
AZT@36.0,mlde_ridge,384,random,3.4568,3.1673,3.2467,0.2101,0.7259,0.6582,0.7432,,3.1958,2000,
AZT@36.0,mlde_ridge,384,current_fitness,3.4568,3.1673,3.2148,0.242,0.836,0.6509,0.9839,-0.0631,3.2155,2000,
AZT@36.0,mlde_ridge,384,known_family_mean,3.4568,3.1673,3.2184,0.2384,0.8235,0.642,0.8525,-0.0214,3.2155,2000,
AZT@36.0,mlde_ridge,384,known_family_worst,3.4568,3.1673,3.2184,0.2384,0.8235,0.5359,0.8513,-0.023,3.2155,2000,
AZT@36.0,mlde_ridge,384,local_robustness,3.4568,3.1673,3.1917,0.2651,0.9158,0.5737,0.9429,-0.0118,3.103,2000,
AZT@36.0,mlde_ridge,384,neighbor_informative_frac,3.4568,3.1673,3.2173,0.2395,0.8274,0.4248,1.2377,-0.0046,3.2358,2000,
AZT@36.0,mlde_ridge,384,dist_to_best,3.4568,3.1673,3.2739,0.1829,0.6316,0.5087,0.8326,0.0116,3.2358,2000,
